,Year,optimal_h,rra,ara
Argentina,2013,4.200000000000001,2.3204652135895225,5.078816647917054e-05
Argentina,2014,4.200000000000001,2.5090064327494135,5.627186961930898e-05
Argentina,2015,4.200000000000001,2.5862833560509317,5.85575169837834e-05
Argentina,2016,4.200000000000001,4.416571336511106,0.00011820059299998969
Argentina,2017,4.200000000000001,3.737617868943794,9.494586777080979e-05
Argentina,2018,4.200000000000001,7.7162584891527475,0.00024584798211472564
Argentina,2019,4.200000000000001,10.368106206831532,0.00036228535355150524
Argentina,2020,4.200000000000001,16.207229984972386,0.0006511605160025991
Argentina,2021,4.200000000000001,7.440974486761542,0.00023440096651647415
Argentina,2022,4.200000000000001,4.037110482336776,0.00010505409200529761
Argentina,2023,4.200000000000001,4.2352742698808,0.00011187351571105394
Argentina,2024,4.200000000000001,4.977647241103924,0.0001382895670421021
Australia,2013,3.16,2.279843685729737,3.192581492791744e-05
Australia,2014,3.16,2.8516097202870654,4.429146745967748e-05
Australia,2015,3.16,3.5202445676569236,6.0277599043156895e-05
Australia,2016,3.16,4.989913533691751,0.0001004209582948532
Australia,2017,3.16,4.208125313270103,7.826340332769383e-05
Australia,2018,3.16,3.98476429226861,7.226149611970797e-05
Australia,2019,3.16,4.564941308437291,8.815955709616069e-05
Australia,2020,3.16,5.172066814713569,0.00010582890767114937
Australia,2021,3.16,4.1110207072939655,7.563551151198178e-05
Australia,2022,3.16,4.331992943354186,8.165649070252787e-05
Australia,2023,3.16,4.735092861935604,9.300808712079985e-05
Australia,2024,3.16,4.6908254980708115,9.173877987440154e-05
Belgium,2013,-1.46,-13.014754412906676,-4.755226499075603e-05
Belgium,2014,-1.46,-9.608131125324539,-3.971459983177802e-05
Belgium,2015,-1.46,-8.331882857910264,-3.6493482179248844e-05
Belgium,2016,-1.46,-8.688887036466507,-3.741359082373387e-05
Belgium,2017,-1.46,-9.80720858140551,-4.0200935260677824e-05
Belgium,2018,-1.46,-12.325665052211217,-4.60415039013907e-05
Belgium,2019,-1.46,-4.682039101438255,-2.592140002505707e-05
Belgium,2020,-1.46,-2.9126323672695946,-1.9557333615671786e-05
Belgium,2021,-1.46,-1.8258417926928712,-1.4822972347850621e-05
Belgium,2022,-1.46,-1.2476600873188828,-1.1824716531476634e-05
Belgium,2023,-1.46,-0.7652628965047603,-8.847082617727243e-06
Belgium,2024,-1.46,-0.7632384925432135,-8.833185072688408e-06
Switzerland,2013,0.1299999999999999,2.2149009273176423,2.6908295849414175e-05
Switzerland,2014,0.1299999999999999,2.2127086060881913,2.6912277905138093e-05
Switzerland,2015,0.1299999999999999,2.1720612788882865,2.698694064424393e-05
Switzerland,2016,0.1299999999999999,2.078415691046205,2.7165243559910787e-05
Switzerland,2017,0.1299999999999999,1.9980592055150532,2.7325767619225366e-05
Switzerland,2018,0.1299999999999999,1.950408544100726,2.7424502662157873e-05
Switzerland,2019,0.1299999999999999,1.8673191557227726,2.7603487159010733e-05
Switzerland,2020,0.1299999999999999,1.8916553469587765,2.7550130667185126e-05
Switzerland,2021,0.1299999999999999,1.9405206429008828,2.7445338429892264e-05
Switzerland,2022,0.1299999999999999,1.7199817834188056,2.794458354071318e-05
Switzerland,2023,0.1299999999999999,1.713578369759168,2.7960162561944378e-05
Switzerland,2024,0.1299999999999999,1.533585304247118,2.842767869812668e-05
Chile,2013,2.9800000000000004,2.934498474271124,0.00015751011650367997
Chile,2014,2.9800000000000004,3.5297873504718957,0.0002079866973734105
Chile,2015,2.9800000000000004,3.976134223375758,0.00024880864966402087
Chile,2016,2.9800000000000004,3.9376202098904125,0.00024519031293147685
Chile,2017,2.9800000000000004,3.5090141085714883,0.00020614721413042937
Chile,2018,2.9800000000000004,3.3470463077797166,0.00019199447296169896
Chile,2019,2.9800000000000004,4.03823233510593,0.0002546800131284007
Chile,2020,2.9800000000000004,5.432181964018552,0.00039794201413560445
Chile,2021,2.9800000000000004,3.9243023064399867,0.00024394325932346653
Chile,2022,2.9800000000000004,4.9354778959341035,0.0003444623958331626
Chile,2023,2.9800000000000004,4.327287347613001,0.0002826071540032636
