STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,HOUSEHOLD_TYPE,Household type,INCOME_PRINCIPAL,Earnings of the principal,INCOME_SPOUSE,Earnings of the spouse,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,CIVIL_STATUS,Civil status
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2000,,47.838346,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2001,,35.559737,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2002,,35.499058,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2003,,35.377358,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2004,,35.377358,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2005,,35.377358,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2006,,35.377358,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2007,,35.377358,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2008,,35.377358,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2009,,35.62257,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2010,,35.506953,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2011,,35.357691,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2012,,35.813027,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2013,,37.700879,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2014,,37.708891,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2015,,42.435316,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2016,,42.435316,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2017,,38.188741,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2018,,38.188741,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2019,,38.188741,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2020,,45.266366,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2021,,40.651833,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2022,,40.665496,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2023,,38.220515,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUS,Australia,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2024,,38.23639,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2000,,55.073383,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2001,,54.498929,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2002,,54.495404,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2003,,61.122477,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2004,,61.759004,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2005,,57.905521,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2006,,57.905521,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2007,,60.763129,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2008,,60.717497,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2009,,60.555782,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2010,,60.555782,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2011,,60.555782,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2012,,60.555782,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2013,,60.555782,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2014,,60.555782,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2015,,60.494594,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2016,,59.78882,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2017,,59.663658,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2018,,59.600784,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2019,,59.569273,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2020,,59.521915,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2021,,59.521915,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2022,,59.490281,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2023,,58.845313,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,AUT,Austria,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2024,,58.253789,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2000,,66.983057,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2001,,66.671666,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2002,,66.389715,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2003,,66.419657,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2004,,66.449546,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2005,,66.432118,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2006,,66.424643,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2007,,66.483817,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2008,,66.430157,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2009,,66.339504,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2010,,69.66197,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2011,,69.686915,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2012,,69.66197,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2013,,66.282018,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2014,,66.33309,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2015,,66.326214,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2016,,66.71732,,2,Two,0,Units,A,Normal value,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_TAX_WAGES_COMP@DF_TW_COMP(2.1),Labour taxation – OECD comparative country indicators,I,BEL,Belgium,MR_TW_PE,Marginal tax wedge of the principal earner,PT_COS_LB,Percentage of labour costs,S_C0,"Single person, no children",AW100,100% of average wage,_Z,Not applicable,A,Annual,2017,,66.421435,,2,Two,0,Units,A,Normal value,_Z,Not applicable
